Cyrillic	Scholarly	ALA-LC	British	BGN/PCGN	ISO 9	National	French	German
А а 	a 	a 	a 	a 	a 	a 	a 	a
Б б 	b 	b 	b 	b 	b 	b 	b 	b
В в 	v 	v 	v 	v 	v 	v 	v 	w
Г г 	h 	h 	g 	h 	g 	h, gh¹ 	h 	h
Ґ ґ 	g 	g 	g 	g 	g̀ 	g 	g 	g
Д д 	d 	d 	d 	d 	d 	d 	d 	d
Е е 	e 	e 	e 	e 	e 	e 	e 	e
Є є 	je 	i͡e 	ye 	ye 	ê 	ie, ye² 	ie 	je
Ж ж 	ž 	z͡h 	zh 	zh 	ž 	zh 	j 	sh
З з 	z 	z 	z 	z 	z 	z 	z 	s
И и 	y 	y 	y 	y 	i 	y 	y 	y
І і 	i 	i 	i 	i 	ì 	i 	i 	i
Ї ї 	ji (ï) 	ï 	ï 	yi 	ï 	i, yi² 	ï 	ji
Й й 	j 	ĭ 	ĭ 	y 	j 	i, y² 	y 	j
К к 	k 	k 	k 	k 	k 	k 	k 	k
Л л 	l 	l 	l 	l 	l 	l 	l 	l
М м 	m 	m 	m 	m 	m 	m 	m 	m
Н н 	n 	n 	n 	n 	n 	n 	n 	n
О о 	o 	o 	o 	o 	o 	o 	o 	o
П п 	p 	p 	p 	p 	p 	p 	p 	p
Р р 	r 	r 	r 	r 	r 	r 	r 	r
С с 	s 	s 	s 	s 	s 	s 	s 	s, ss
Т т 	t 	t 	t 	t 	t 	t 	t 	t
У у 	u 	u 	u 	u 	u 	u 	ou 	u
Ф ф 	f 	f 	f 	f 	f 	f 	f 	f
Х х 	x (ch) 	kh 	kh 	kh 	h 	kh 	kh 	ch
Ц ц 	c 	t͡s 	ts 	ts 	c 	ts 	ts 	z
Ч ч 	č 	ch 	ch 	ch 	č 	ch 	tch 	tsch
Ш ш 	š 	sh 	sh 	sh 	š 	sh 	ch 	sch
Щ щ 	šč 	shch 	shch 	shch 	ŝ 	sch 	chtch 	schtsch
Ь ь 	′ 	′ 	′ 	’ 	′ 	’ 	– 	–
Ю ю 	ju 	i͡u 	yu 	yu 	û 	iu, yu² 	iou 	ju
Я я 	ja 	i͡a 	ya 	ya 	â 	ia, ya² 	ia 	ja
’ ’ 	- (″) 	- 	″ 	” 	’ 	” 	– 	–
